date,unit_nav
2025-10-13,2.3792
2025-10-14,2.2888
2025-10-15,2.351
2025-10-16,2.3876
2025-10-17,2.3491
2025-10-20,2.379
2025-10-21,2.4075
2025-10-22,2.4095
2025-10-23,2.386
2025-10-24,2.4892
2025-10-27,2.5506
2025-10-28,2.513
2025-10-29,2.5472
2025-10-30,2.544
2025-10-31,2.4939
2025-11-03,2.539
2025-11-04,2.4956
2025-11-05,2.434
2025-11-06,2.5105
2025-11-07,2.4513
2025-11-10,2.4728
2025-11-11,2.4763
2025-11-12,2.4661
2025-11-13,2.4776
2025-11-14,2.3508
2025-11-17,2.4163
2025-11-18,2.3662
2025-11-19,2.3411
2025-11-20,2.3503
2025-11-21,2.2113
2025-11-24,2.235
2025-11-25,2.257
2025-11-26,2.3074
2025-11-27,2.3259
2025-11-28,2.3294
2025-12-01,2.3601
2025-12-02,2.3627
2025-12-03,2.3617
2025-12-04,2.3722
2025-12-05,2.3844
2025-12-08,2.4455
2025-12-09,2.4278
2025-12-10,2.4388
2025-12-11,2.3962
2025-12-12,2.4071
2025-12-15,2.3391
2025-12-16,2.2835
2025-12-17,2.3537
2025-12-18,2.3308
2025-12-19,2.3232
2025-12-22,2.4143
2025-12-23,2.4303
2025-12-24,2.4408
2025-12-25,2.456
2025-12-26,2.4864
2025-12-29,2.5327
2025-12-30,2.5647
2025-12-31,2.5383
2026-01-05,2.7467
2026-01-06,2.8098
2026-01-07,2.8292
2026-01-08,2.8404
2026-01-09,2.8137
2026-01-12,2.8256
2026-01-13,2.7665
2026-01-14,2.8057
2026-01-15,2.8424
2026-01-16,2.8939
2026-01-19,2.8956
2026-01-20,2.8334
2026-01-21,2.9045
2026-01-22,2.9324
2026-01-23,2.9311
2026-01-26,2.9373
2026-01-27,3.0628
2026-01-28,3.186
2026-01-29,3.1672
2026-01-30,3.2542
2026-02-02,3.0328
2026-02-03,3.1897
2026-02-04,3.1459
2026-02-05,3.0207
2026-02-06,3.0124
2026-02-09,3.1423
2026-02-10,3.1122
2026-02-11,3.0754
2026-02-12,3.206
2026-02-13,3.1893
2026-02-24,3.353
2026-02-25,3.3631
2026-02-26,3.5794
2026-02-27,3.5431
2026-03-02,3.511
2026-03-03,3.267
2026-03-04,3.0165
2026-03-05,3.3361
2026-03-06,3.3175
2026-03-09,3.1084
2026-03-10,3.2833
2026-03-11,3.25
2026-03-12,3.2137
2026-03-13,3.1575
2026-03-16,3.2329
2026-03-17,3.2042
2026-03-18,3.3671
2026-03-19,3.2722
2026-03-20,3.2617
2026-03-23,3.0678
2026-03-24,3.1622
2026-03-25,3.2018
2026-03-26,3.0553
2026-03-27,3.0472
2026-03-30,2.9648
2026-03-31,2.8166
2026-04-01,3.0509
2026-04-02,2.8838
2026-04-03,2.9534
2026-04-07,3.0287
2026-04-08,3.284
2026-04-09,3.2398
2026-04-10,3.295
2026-04-13,3.2752
2026-04-14,3.3692
2026-04-15,3.4209
2026-04-16,3.4775
2026-04-17,3.4641
2026-04-20,3.5505
2026-04-21,3.6049
2026-04-22,3.6241
2026-04-23,3.6397
2026-04-24,3.688
2026-04-27,3.8475
2026-04-28,3.8355
2026-04-29,3.8319
2026-04-30,3.8673
2026-05-06,4.3599
2026-05-07,4.4545
2026-05-08,4.4073
2026-05-11,4.6998
2026-05-12,4.5575
2026-05-13,4.7193
2026-05-14,4.7112
2026-05-15,4.4356
2026-05-18,4.507
2026-05-19,4.4612
2026-05-20,4.522
2026-05-21,4.7731
2026-05-22,4.8043
