date,unit_nav,daily_return_pct
2025-05-15,1.1321,-1.21
2025-05-16,1.1473,1.34
2025-05-19,1.135,-1.07
2025-05-20,1.1375,0.22
2025-05-21,1.1253,-1.07
2025-05-22,1.1128,-1.11
2025-05-23,1.1065,-0.57
2025-05-26,1.1109,0.4
2025-05-27,1.0976,-1.2
2025-05-28,1.0958,-0.16
2025-05-29,1.1129,1.56
2025-05-30,1.092,-1.88
2025-06-03,1.0941,0.19
2025-06-04,1.1047,0.97
2025-06-05,1.1217,1.54
2025-06-06,1.1171,-0.41
2025-06-09,1.1244,0.65
2025-06-10,1.1163,-0.72
2025-06-11,1.1209,0.41
2025-06-12,1.1222,0.12
2025-06-13,1.1073,-1.33
2025-06-16,1.1131,0.52
2025-06-17,1.1108,-0.21
2025-06-18,1.1134,0.23
2025-06-19,1.0994,-1.26
2025-06-20,1.0842,-1.38
2025-06-23,1.0914,0.66
2025-06-24,1.1255,3.12
2025-06-25,1.1371,1.03
2025-06-26,1.1278,-0.82
2025-06-27,1.1268,-0.09
2025-06-30,1.1424,1.38
2025-07-01,1.141,-0.12
2025-07-02,1.1242,-1.47
2025-07-03,1.1288,0.41
2025-07-04,1.1152,-1.2
2025-07-07,1.1059,-0.83
2025-07-08,1.1217,1.43
2025-07-09,1.1273,0.5
2025-07-10,1.1251,-0.2
2025-07-11,1.1359,0.96
2025-07-14,1.146,0.89
2025-07-15,1.1472,0.1
2025-07-16,1.156,0.77
2025-07-17,1.1747,1.62
2025-07-18,1.1759,0.1
2025-07-21,1.19,1.2
2025-07-22,1.1928,0.24
2025-07-23,1.1843,-0.71
2025-07-24,1.2068,1.9
2025-07-25,1.2189,1.0
2025-07-28,1.2279,0.74
2025-07-29,1.2302,0.19
2025-07-30,1.2079,-1.81
2025-07-31,1.1946,-1.1
2025-08-01,1.1867,-0.66
2025-08-04,1.2111,2.06
2025-08-05,1.2237,1.04
2025-08-06,1.2538,2.46
2025-08-07,1.2485,-0.42
2025-08-08,1.2486,0.01
2025-08-11,1.2734,1.99
2025-08-12,1.2798,0.5
2025-08-13,1.2983,1.45
2025-08-14,1.2783,-1.54
2025-08-15,1.2992,1.63
2025-08-18,1.3157,1.27
2025-08-19,1.3323,1.26
2025-08-20,1.3451,0.96
2025-08-21,1.3267,-1.37
2025-08-22,1.3598,2.49
2025-08-25,1.3912,2.31
2025-08-26,1.3954,0.3
2025-08-27,1.3785,-1.21
2025-08-28,1.4006,1.6
2025-08-29,1.4171,1.18
2025-09-01,1.4458,2.03
2025-09-02,1.4389,-0.48
2025-09-03,1.3991,-2.77
2025-09-04,1.335,-4.58
2025-09-05,1.3898,4.1
2025-09-08,1.4332,3.12
2025-09-09,1.4181,-1.05
2025-09-10,1.4188,0.05
2025-09-11,1.478,4.17
2025-09-12,1.4813,0.22
2025-09-15,1.4869,0.38
2025-09-16,1.5134,1.78
2025-09-17,1.5398,1.74
2025-09-18,1.5324,-0.48
2025-09-19,1.5216,-0.7
2025-09-22,1.5424,1.37
2025-09-23,1.5081,-2.22
2025-09-24,1.5345,1.75
2025-09-25,1.5615,1.76
2025-09-26,1.5092,-3.35
2025-09-29,1.5448,2.36
2025-09-30,1.532,-0.83
2025-10-09,1.5434,0.74
2025-10-10,1.5033,-2.6
2025-10-13,1.4871,-1.08
2025-10-14,1.4391,-3.23
2025-10-15,1.4639,1.72
2025-10-16,1.4464,-1.2
2025-10-17,1.39,-3.9
2025-10-20,1.4157,1.85
2025-10-21,1.4465,2.18
2025-10-22,1.4514,0.34
2025-10-23,1.453,0.11
2025-10-24,1.4775,1.69
2025-10-27,1.5209,2.94
2025-10-28,1.5345,0.89
2025-10-29,1.5731,2.52
2025-10-30,1.5535,-1.25
2025-10-31,1.5284,-1.62
2025-11-03,1.52,-0.55
2025-11-04,1.4933,-1.76
2025-11-05,1.4978,0.3
2025-11-06,1.5276,1.99
2025-11-07,1.5121,-1.01
2025-11-10,1.495,-1.13
2025-11-11,1.4771,-1.2
2025-11-12,1.4601,-1.15
2025-11-13,1.4739,0.95
2025-11-14,1.4492,-1.68
2025-11-17,1.4586,0.65
2025-11-18,1.4525,-0.42
2025-11-19,1.4401,-0.85
2025-11-20,1.4288,-0.78
2025-11-21,1.3799,-3.42
2025-11-24,1.3929,0.94
2025-11-25,1.4056,0.91
2025-11-26,1.4108,0.37
2025-11-27,1.4049,-0.42
2025-11-28,1.4254,1.46
2025-12-01,1.4403,1.05
2025-12-02,1.4223,-1.25
2025-12-03,1.412,-0.72
2025-12-04,1.4282,1.15
2025-12-05,1.4636,2.48
2025-12-08,1.4991,2.43
2025-12-09,1.4982,-0.06
2025-12-10,1.5106,0.83
2025-12-11,1.4856,-1.65
2025-12-12,1.4929,0.49
2025-12-15,1.4676,-1.69
2025-12-16,1.4378,-2.03
2025-12-17,1.4804,2.96
2025-12-18,1.4557,-1.67
2025-12-19,1.4681,0.85
2025-12-22,1.5117,2.97
2025-12-23,1.5167,0.33
2025-12-24,1.5312,0.96
2025-12-25,1.5554,1.58
2025-12-26,1.5685,0.84
2025-12-29,1.5706,0.13
2025-12-30,1.602,2.0
2025-12-31,1.5877,-0.89
2026-01-05,1.6167,1.83
2026-01-06,1.6293,0.78
2026-01-07,1.6465,1.06
2026-01-08,1.6508,0.26
2026-01-09,1.6911,2.44
2026-01-12,1.727,2.12
2026-01-13,1.6925,-2.0
2026-01-14,1.7028,0.61
2026-01-15,1.715,0.72
2026-01-16,1.7467,1.85
2026-01-19,1.7702,1.35
2026-01-20,1.7306,-2.24
2026-01-21,1.7801,2.86
2026-01-22,1.7907,0.6
2026-01-23,1.8135,1.27
2026-01-26,1.7948,-1.03
2026-01-27,1.8193,1.37
2026-01-28,1.7953,-1.32
2026-01-29,1.7391,-3.13
2026-01-30,1.7269,-0.7
2026-02-02,1.6828,-2.55
2026-02-03,1.744,3.64
2026-02-04,1.7402,-0.22
2026-02-05,1.6988,-2.38
